isin,symbol,company_name,yahoo_ticker,yahoo_sector,yahoo_industry,yahoo_quote_type,classification_status,classification_source,yahoo_failure_reason,attempted_at_utc,attempt_count
INE831A01028,ONIDA,Onida Electronics Limited,ONIDA.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE173M01012,ONIXSOLAR,Onix Solar Energy Limited,ONIXSOLAR.NS,Technology,Solar,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE06IR01021,OSIAHYPER,Osia Hyper Retail Limited,OSIAHYPER.NS,Consumer Cyclical,Department Stores,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE00IK01029,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,OSWALSEEDS.NS,Basic Materials,Agricultural Inputs,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE895W01019,PANACHE,Panache Digilife Limited,PANACHE.NS,Technology,Communication Equipment,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE697V01011,PANSARI,Pansari Developers Limited,PANSARI.NS,Real Estate,Real Estate - Development,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE04LG01015,PAR,Par Drugs And Chemicals Limited,PAR.NS,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE431F01018,PKTEA,The Peria Karamalai Tea & Produce Company Limited,PKTEA.NS,Consumer Defensive,Farm Products,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE283A01014,PRECOT,Precot Limited,PRECOT.NS,Consumer Cyclical,Textile Manufacturing,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE974Z01015,PRITI,Priti International Limited,PRITI.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE0FMW01018,QMSMEDI,QMS Medical Allied Services Limited,QMSMEDI.NS,Healthcare,Medical Instruments & Supplies,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE00KV01022,RAJMET,Rajnandini Metal Limited,RAJMET.NS,Basic Materials,Copper,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE364Z01019,REPL,Rudrabhishek Enterprises Limited,REPL.NS,Industrials,Consulting Services,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE786W01010,RKEC,RKEC Projects Limited,RKEC.NS,Industrials,Engineering & Construction,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE760W01023,RPPL,Rajshree Polypack Limited,RPPL.NS,Consumer Cyclical,Packaging & Containers,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE976T01013,SAGARDEEP,Sagardeep Alloys Limited,SAGARDEEP.NS,Basic Materials,Copper,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE732S01012,SAKAR,Sakar Healthcare Limited,SAKAR.NS,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE753W01010,SANGINITA,Sanginita Chemicals Limited,SANGINITA.NS,Basic Materials,Chemicals,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE782X01033,SERVOTECH,Servotech Renewable Power System Limited,SERVOTECH.NS,Industrials,Electrical Equipment & Parts,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE933X01016,SHANTI,Shanti Overseas (India) Limited,SHANTI.NS,Consumer Defensive,Farm Products,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE719F01016,SHIVAUM,Shiv Aum Steels Limited,SHIVAUM.NS,Basic Materials,Steel,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE715Y01031,SHRADHA,Shradha Realty Limited,SHRADHA.NS,Real Estate,Real Estate - Development,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE632X01030,SHRENIK,Shrenik Limited,SHRENIK.NS,Basic Materials,Paper & Paper Products,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE112X01025,SIKKO,Sikko Industries Limited,SIKKO.NS,Basic Materials,Agricultural Inputs,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE01II01013,SILGO,Silgo Retail Limited,SILGO.NS,Consumer Cyclical,Luxury Goods,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE203Y01012,SILLYMONKS,Silly Monks Entertainment Limited,SILLYMONKS.NS,Communication Services,Entertainment,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE129Z01016,SINTERCOM,Sintercom India Limited,SINTERCOM.NS,Consumer Cyclical,Auto Parts,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE880Y01017,SOLEX,Solex Energy Limited,SOLEX.NS,Technology,Solar,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE00LM01029,SONAMLTD,SONAM LIMITED,SONAMLTD.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE970N01027,SPCENET,Spacenet Enterprises India Limited,SPCENET.NS,Financial Services,Capital Markets,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE937A01023,SPMLINFRA,SPML Infra Limited,SPMLINFRA.NS,Industrials,Engineering & Construction,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE0RYC01010,STALLION,Stallion India Fluorochemicals Limited,STALLION.NS,Basic Materials,Specialty Chemicals,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE395H01011,STEELCITY,Steel City Securities Limited,STEELCITY.NS,Financial Services,Capital Markets,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE748Z01013,SUMIT,Sumit Woods Limited,SUMIT.NS,Real Estate,Real Estate - Development,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE319Z01021,SUPREMEENG,Supreme Engineering Limited,SUPREMEENG.NS,Basic Materials,Steel,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE00CE01017,SVLL,Shree Vasu Logistics Limited,SVLL.NS,Industrials,Trucking,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE555Z01020,TARACHAND,Tara Chand InfraLogistic Solutions Limited,TARACHAND.NS,Industrials,Farm & Heavy Construction Machinery,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
INE869Y01028,TEMBO,Tembo Global Industries Limited,TEMBO.NS,Industrials,Metal Fabrication,EQUITY,YAHOO_FALLBACK,Yahoo Finance,,,0
