isin,symbol,company_name,series,bse_code,bse_sector,bse_industry,bse_industry_new,bse_i_group,bse_i_sub_group,classification_status,classification_source,failure_reason,attempted_at_utc,attempt_count
INE757T01025,AEPL,Artemis Electricals and Projects Limited,EQ,542670,Industrials,Other Electrical Equipment,Capital Goods,Electrical Equipment,Other Electrical Equipment,CLASSIFIED,,,,0
INE947N01017,AEQUS,Aequs Limited,EQ,544634,Industrials,Aerospace & Defense,Capital Goods,Aerospace & Defense,Aerospace & Defense,CLASSIFIED,,,,0
INE065D01027,AEROENTER,Aeroflex Enterprises Limited,EQ,511076,Industrials,Iron & Steel Products,Capital Goods,Industrial Products,Iron & Steel Products,CLASSIFIED,,,,0
INE024001021,AEROFLEX,Aeroflex Industries Limited,EQ,543972,Industrials,Iron & Steel Products,Capital Goods,Industrial Products,Iron & Steel Products,CLASSIFIED,,,,0
INE035801013,AERONEU,Aeroflex Neu Limited,EQ,543743,Industrials,Packaging,Capital Goods,Industrial Products,Packaging,CLASSIFIED,,,,0
INE05TO01019,AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,EQ,544743,Fast Moving Consumer Goods,Other Agricultural Products,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,CLASSIFIED,,,,0
INE0BWX01014,AETHER,Aether Industries Limited,EQ,543534,Commodities,Specialty Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,CLASSIFIED,,,,0
INE101I01011,AFCONS,Afcons Infrastructure Limited,EQ,544280,Industrials,Civil Construction,Construction,Construction,Civil Construction,CLASSIFIED,,,,0
INE00WC01027,AFFLE,Affle 3i Limited,EQ,542752,Information Technology,IT Enabled Services,Information Technology,IT - Services,IT Enabled Services,CLASSIFIED,,,,0
INE692Z01013,AFFORDABLE,Affordable Robotic & Automation Limited,BE,541402,Industrials,Industrial Products,Capital Goods,Industrial Manufacturing,Industrial Products,CLASSIFIED,,,,0
INE916Y01027,AFIL,Akme Fintrade (India) Limited,EQ,544200,Financial Services,Non Banking Financial Company (NBFC),Financial Services,Finance,Non Banking Financial Company (NBFC),CLASSIFIED,,,,0
INE00ZE01026,AFSL,Abans Financial Services Limited,EQ,543712,Financial Services,Holding Company,Financial Services,Finance,Holding Company,CLASSIFIED,,,,0
INE204E01012,AGARIND,Agarwal Industrial Corporation Limited,EQ,531921,Commodities,Petrochemicals,Chemicals,Chemicals & Petrochemicals,Petrochemicals,CLASSIFIED,,,,0
INE943P01029,AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,544350,Healthcare,Hospital,Healthcare,Healthcare Services,Hospital,CLASSIFIED,,,,0
INE415A01038,AGI,AGI Greenpac Limited,EQ,500187,Industrials,Packaging,Capital Goods,Industrial Products,Packaging,CLASSIFIED,,,,0
INE976R01033,AGIIL,Agi Infra Limited,EQ,539042,Consumer Discretionary,"Residential, Commercial Projects",Realty,Realty,"Residential, Commercial Projects",CLASSIFIED,,,,0
INE1YPB01014,AGL,Allcargo Global Limited,EQ,544602,Services,Logistics Solution Provider,Services,Transport Services,Logistics Solution Provider,CLASSIFIED,,,,0
