symbol,company_name,series,isin,listing_date,classification_status,classification_source,sector,industry,basic_industry,yahoo_ticker,yahoo_sector,yahoo_industry,classification_failure_reason,yahoo_failure_reason
KSHITIJPOL,Kshitij Polyline Limited,EQ,INE013801027,2022-07-27,YAHOO_FALLBACK,Yahoo Finance,,,,KSHITIJPOL.NS,Industrials,Business Equipment & Supplies,COMPANY_NAME: IndexError: tuple index out of range,
LAGNAM,Lagnam Spintex Limited,EQ,INE548Z01017,2021-09-30,YAHOO_FALLBACK,Yahoo Finance,,,,LAGNAM.NS,Consumer Cyclical,Textile Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
LATTEYS,Latteys Industries Limited,EQ,INE262Z01023,2023-05-23,YAHOO_FALLBACK,Yahoo Finance,,,,LATTEYS.NS,Industrials,Specialty Industrial Machinery,COMPANY_NAME: IndexError: tuple index out of range,
LAXMICOT,Laxmi Cotspin Limited,EQ,INE801V01019,2021-11-12,YAHOO_FALLBACK,Yahoo Finance,,,,LAXMICOT.NS,Consumer Cyclical,Textile Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
LEMERITE,Le Merite Exports Limited,EQ,INE0G1L01025,2025-12-12,YAHOO_FALLBACK,Yahoo Finance,,,,LEMERITE.NS,Consumer Cyclical,Textile Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
LEXUS,Lexus Granito (India) Limited,EQ,INE500X01013,2023-03-13,YAHOO_FALLBACK,Yahoo Finance,,,,LEXUS.NS,Industrials,Building Products & Equipment,COMPANY_NAME: IndexError: tuple index out of range,
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,INE850E01012,2015-04-15,YAHOO_FALLBACK,Yahoo Finance,,,,LFIC.NS,Financial Services,Asset Management,COMPANY_NAME: IndexError: tuple index out of range,
LGHL,Laxmi Goldorna House Limited,EQ,INE258Y01016,2023-11-10,YAHOO_FALLBACK,Yahoo Finance,,,,LGHL.NS,Consumer Cyclical,Luxury Goods,COMPANY_NAME: IndexError: tuple index out of range,
LIBAS,Libas Consumer Products Limited,EQ,INE908V01012,2019-07-23,YAHOO_FALLBACK,Yahoo Finance,,,,LIBAS.NS,Consumer Cyclical,Apparel Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
MACPOWER,Macpower CNC Machines Limited,EQ,INE155Z01011,2020-08-19,YAHOO_FALLBACK,Yahoo Finance,,,,MACPOWER.NS,Industrials,Specialty Industrial Machinery,COMPANY_NAME: IndexError: tuple index out of range,
MAHESHWARI,Maheshwari Logistics Limited,BE,INE263W01010,2019-04-15,YAHOO_FALLBACK,Yahoo Finance,,,,MAHESHWARI.NS,Industrials,Integrated Freight & Logistics,COMPANY_NAME: IndexError: tuple index out of range,
MARINE,Marine Electricals (India) Limited,EQ,INE01JE01028,2020-12-02,YAHOO_FALLBACK,Yahoo Finance,,,,MARINE.NS,Industrials,Electrical Equipment & Parts,COMPANY_NAME: IndexError: tuple index out of range,
MASKINVEST,Mask Investments Limited,EQ,INE885F01015,2016-10-14,YAHOO_FALLBACK,Yahoo Finance,,,,MASKINVEST.NS,Financial Services,Capital Markets,COMPANY_NAME: IndexError: tuple index out of range,
MBAPL,Madhya Bharat Agro Products Limited,EQ,INE900L01028,2019-08-22,YAHOO_FALLBACK,Yahoo Finance,,,,MBAPL.NS,Basic Materials,Agricultural Inputs,COMPANY_NAME: IndexError: tuple index out of range,
MCL,M TEK COPPER LIMITED,EQ,INE813V01022,2020-08-19,YAHOO_FALLBACK,Yahoo Finance,,,,MCL.NS,Basic Materials,Copper,COMPANY_NAME: IndexError: tuple index out of range,
MITCON,MITCON Consultancy & Engineering Services Limited,BE,INE828O01033,2022-03-17,YAHOO_FALLBACK,Yahoo Finance,,,,MITCON.NS,Industrials,Engineering & Construction,COMPANY_NAME: IndexError: tuple index out of range,
MITTAL,Mittal Life Style Limited,EQ,INE997Y01027,2020-04-29,YAHOO_FALLBACK,Yahoo Finance,,,,MITTAL.NS,Consumer Cyclical,Textile Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
MMP,MMP Industries Limited,EQ,INE511Y01018,2020-01-09,YAHOO_FALLBACK,Yahoo Finance,,,,MMP.NS,Basic Materials,Aluminum,COMPANY_NAME: IndexError: tuple index out of range,
MOKSH,Moksh Ornaments Limited,EQ,INE514Y01020,2021-05-21,YAHOO_FALLBACK,Yahoo Finance,,,,MOKSH.NS,Consumer Cyclical,Luxury Goods,COMPANY_NAME: IndexError: tuple index out of range,
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,INE365I01020,2016-11-23,YAHOO_FALLBACK,Yahoo Finance,,,,NBIFIN.NS,Financial Services,Capital Markets,COMPANY_NAME: IndexError: tuple index out of range,
NDGL,Naga Dhunseri Group Limited,EQ,INE756C01015,2016-08-29,YAHOO_FALLBACK,Yahoo Finance,,,,NDGL.NS,Financial Services,Capital Markets,COMPANY_NAME: IndexError: tuple index out of range,
NIRAJISPAT,Niraj Ispat Industries Limited,EQ,INE326T01011,2016-10-27,YAHOO_FALLBACK,Yahoo Finance,,,,NIRAJISPAT.NS,Consumer Cyclical,Apparel Manufacturing,COMPANY_NAME: IndexError: tuple index out of range,
NITIRAJ,Nitiraj Engineers Limited,EQ,INE439T01012,2021-04-22,YAHOO_FALLBACK,Yahoo Finance,,,,NITIRAJ.NS,Technology,Scientific & Technical Instruments,COMPANY_NAME: IndexError: tuple index out of range,
NOVAAGRI,Nova Agritech Limited,BE,INE02H701025,2024-01-31,YAHOO_FALLBACK,Yahoo Finance,,,,NOVAAGRI.NS,Basic Materials,Agricultural Inputs,COMPANY_NAME: IndexError: tuple index out of range,
NRL,Nupur Recyclers Limited,BE,INE0JM501013,2023-01-12,YAHOO_FALLBACK,Yahoo Finance,,,,NRL.NS,Industrials,Waste Management,COMPANY_NAME: IndexError: tuple index out of range,
ONGC,Oil & Natural Gas Corporation Limited,EQ,INE213A01029,1995-07-19,YAHOO_FALLBACK,Yahoo Finance,,,,ONGC.NS,Energy,Oil & Gas Integrated,COMPANY_NAME: IndexError: tuple index out of range,
ONIDA,Onida Electronics Limited,EQ,INE831A01028,2004-05-24,YAHOO_FALLBACK,Yahoo Finance,,,,ONIDA.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",COMPANY_NAME: IndexError: tuple index out of range,
ONIXSOLAR,Onix Solar Energy Limited,EQ,INE173M01012,2026-08-17,YAHOO_FALLBACK,Yahoo Finance,,,,ONIXSOLAR.NS,Technology,Solar,COMPANY_NAME: IndexError: tuple index out of range,
